date,model_name,ticker,action,from_weight,to_weight,delta_weight
2026-04-17,baseline,AMD,INCREASE,0.05486698263954112,0.054866986941095944,4.301554820673736e-09
2026-04-17,baseline,AVGO,INCREASE,0.05486698263954112,0.054866986941095944,4.301554820673736e-09
2026-04-17,baseline,CIEN,INCREASE,0.05486698263954112,0.054866986941095944,4.301554820673736e-09
2026-04-17,baseline,COHR,INCREASE,0.05486698263954112,0.054866986941095944,4.301554820673736e-09
2026-04-17,baseline,GLW,INCREASE,0.05486698263954112,0.054866986941095944,4.301554820673736e-09
2026-04-17,baseline,INTC,INCREASE,0.05486698263954112,0.054866986941095944,4.301554820673736e-09
2026-04-17,baseline,LITE,INCREASE,0.05486698263954112,0.054866986941095944,4.301554820673736e-09
2026-04-17,baseline,LRCX,INCREASE,0.05486698263954112,0.054866986941095944,4.301554820673736e-09
2026-04-17,baseline,MPWR,INCREASE,0.05486698263954112,0.054866986941095944,4.301554820673736e-09
2026-04-17,baseline,SBAC,INCREASE,0.05486698263954112,0.054866986941095944,4.301554820673736e-09
2026-04-17,baseline,SNDK,INCREASE,0.05486698263954112,0.054866986941095944,4.301554820673736e-09
2026-04-17,baseline,STX,INCREASE,0.05486698263954112,0.054866986941095944,4.301554820673736e-09
2026-04-17,baseline,TER,INCREASE,0.05486698263954112,0.054866986941095944,4.301554820673736e-09
2026-04-17,baseline,VRT,INCREASE,0.05486698263954112,0.054866986941095944,4.301554820673736e-09
2026-04-17,baseline,WDC,INCREASE,0.05486698263954112,0.054866986941095944,4.301554820673736e-09
